Course ID,Course Name,Description
1,Introduction to Python,Learn the basics of Python programming
2,Data Structures and Algorithms,Understand data structures and algorithms in Python
3,Web Development with Flask,Build web applications using Flask framework
4,Machine Learning with Python,Learn machine learning concepts and implement them in Python
5,Data Analysis with Pandas,Learn data analysis and visualization using Pandas and Matplotlib
6,Introduction to Java,Learn the basics of Java programming
7,Object-Oriented Programming,Understand object-oriented programming concepts in Java
8,Database Management Systems,Learn database management systems and SQL
9,Cloud Computing with AWS,Learn cloud computing concepts and AWS services
10,Artificial Intelligence with Python,Learn artificial intelligence concepts and implement them in Python
